"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///pilot-server/upload/client.py:1:30:1:36""]].","/pilot-server/upload/client.py","21","19","21","26"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///pilot-server/upload/client.py:1:30:1:36""]].","/pilot-server/upload/client.py","42","27","42","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///pilot-server/upload/client.py:1:30:1:36""]].","/pilot-server/upload/client.py","43","23","43","31"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///pilot-server/download/file_download.py:1:30:1:36""]].","/pilot-server/download/file_download.py","13","26","13","29"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///pilot-server/upload/server_1.py:1:30:1:36""]].","/pilot-server/upload/server_1.py","26","19","26","26"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///pilot-server/upload/server_1.py:1:30:1:36""]].","/pilot-server/upload/server_1.py","47","27","47","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///pilot-server/upload/server_1.py:1:30:1:36""]].","/pilot-server/upload/server_1.py","48","23","48","31"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///pilot-server/upload/server_2.py:1:30:1:36""]].","/pilot-server/upload/server_2.py","30","19","30","26"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///pilot-server/upload/server_2.py:1:30:1:36""]].","/pilot-server/upload/server_2.py","51","27","51","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///pilot-server/upload/server_2.py:1:30:1:36""]].","/pilot-server/upload/server_2.py","52","23","52","31"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///pilot-server/ssrf/ssrf.py:1:30:1:36""]].","/pilot-server/ssrf/ssrf.py","15","23","15","30"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///pilot-server/upload/upload_dir.py:1:30:1:36""]].","/pilot-server/upload/upload_dir.py","20","19","20","26"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///pilot-server/upload/upload_dir.py:1:30:1:36""]].","/pilot-server/upload/upload_dir.py","41","27","41","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///pilot-server/upload/upload_dir.py:1:30:1:36""]].","/pilot-server/upload/upload_dir.py","42","23","42","31"
"Server Side Template Injection","Using user-controlled data to create a template can lead to remote code execution or cross site scripting.","error","This template construction depends on a [[""user-provided value""|""relative:///pilot-server/ssti/jinja2.py:1:30:1:36""]].","/pilot-server/ssti/jinja2.py","11","48","11","52"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///pilot-server/rce/rce.py:1:30:1:36""]].","/pilot-server/rce/rce.py","17","27","17","29"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///pilot-server/rce/rce_ping.py:1:30:1:36""]].","/pilot-server/rce/rce_ping.py","19","27","19","29"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on a [[""user-provided value""|""relative:///pilot-server/serialize/serialize.py:1:30:1:36""]].","/pilot-server/serialize/serialize.py","17","27","17","29"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///pilot-server/ssti/jinja2.py:1:30:1:36""]].","/pilot-server/ssti/jinja2.py","12","12","12","28"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///pilot-server/ssrf/ssrf.py:1:30:1:36""]].","/pilot-server/ssrf/ssrf.py","24","20","24","27"
"Use of a broken or weak cryptographic hashing algorithm on sensitive data","Using broken or weak cryptographic hashing algorithms can compromise security.","warning","[[""Sensitive data (password)""|""relative:///pilot-server/bruteforce/bf_password.py:14:16:14:39""]] is used in a hashing algorithm (MD5) that is insecure for password hashing, since it is not a computationally expensive hash function.","/pilot-server/bruteforce/bf_password.py","15","113","15","136"
"Use of a broken or weak cryptographic hashing algorithm on sensitive data","Using broken or weak cryptographic hashing algorithms can compromise security.","warning","[[""Sensitive data (password)""|""relative:///pilot-server/bruteforce/bf_token.py:14:16:14:39""]] is used in a hashing algorithm (MD5) that is insecure for password hashing, since it is not a computationally expensive hash function.","/pilot-server/bruteforce/bf_token.py","15","113","15","136"
"Use of a broken or weak cryptographic hashing algorithm on sensitive data","Using broken or weak cryptographic hashing algorithms can compromise security.","warning","[[""Sensitive data (password)""|""relative:///pilot-server/bruteforce/bf_username.py:14:16:14:39""]] is used in a hashing algorithm (MD5) that is insecure for password hashing, since it is not a computationally expensive hash function.","/pilot-server/bruteforce/bf_username.py","15","139","15","162"
"Use of a broken or weak cryptographic hashing algorithm on sensitive data","Using broken or weak cryptographic hashing algorithms can compromise security.","warning","[[""Sensitive data (password)""|""relative:///pilot-server/csrf/csrf.py:15:16:15:39""]] is used in a hashing algorithm (MD5) that is insecure for password hashing, since it is not a computationally expensive hash function.","/pilot-server/csrf/csrf.py","16","113","16","136"
"Use of a broken or weak cryptographic hashing algorithm on sensitive data","Using broken or weak cryptographic hashing algorithms can compromise security.","warning","[[""Sensitive data (password)""|""relative:///pilot-server/authority/horizontal.py:15:16:15:39""]] is used in a hashing algorithm (MD5) that is insecure for password hashing, since it is not a computationally expensive hash function.","/pilot-server/authority/horizontal.py","16","113","16","136"
"Use of a broken or weak cryptographic hashing algorithm on sensitive data","Using broken or weak cryptographic hashing algorithms can compromise security.","warning","[[""Sensitive data (password)""|""relative:///pilot-server/sqli/mssqli.py:15:16:15:39""]] is used in a hashing algorithm (MD5) that is insecure for password hashing, since it is not a computationally expensive hash function.","/pilot-server/sqli/mssqli.py","16","113","16","136"
"Use of a broken or weak cryptographic hashing algorithm on sensitive data","Using broken or weak cryptographic hashing algorithms can compromise security.","warning","[[""Sensitive data (password)""|""relative:///pilot-server/sqli/mysqli.py:15:16:15:39""]] is used in a hashing algorithm (MD5) that is insecure for password hashing, since it is not a computationally expensive hash function.","/pilot-server/sqli/mysqli.py","16","107","16","130"
"Use of a broken or weak cryptographic hashing algorithm on sensitive data","Using broken or weak cryptographic hashing algorithms can compromise security.","warning","[[""Sensitive data (password)""|""relative:///pilot-server/sqli/pgsqli.py:15:16:15:39""]] is used in a hashing algorithm (MD5) that is insecure for password hashing, since it is not a computationally expensive hash function.","/pilot-server/sqli/pgsqli.py","16","124","16","147"
"Use of a broken or weak cryptographic hashing algorithm on sensitive data","Using broken or weak cryptographic hashing algorithms can compromise security.","warning","[[""Sensitive data (password)""|""relative:///pilot-server/xss/stored.py:16:16:16:39""]] is used in a hashing algorithm (MD5) that is insecure for password hashing, since it is not a computationally expensive hash function.","/pilot-server/xss/stored.py","18","113","18","136"
